image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
160x_2025-05-15_02-05-00.tif,160,160x,5,0,2560,0.34560013,0.5375556945800781,0.6636886596679688
160x_2025-05-15_02-05-00.tif,160,160x,6,0,3072,0.38965607,0.5295066833496094,0.5886116027832031
160x_2025-05-15_02-05-00.tif,160,160x,7,512,0,0.28817368,0.5545883178710938,0.6873664855957031
160x_2025-05-15_02-05-00.tif,160,160x,8,512,512,0.25078583,0.5678863525390625,0.7104072570800781
160x_2025-05-15_02-05-00.tif,160,160x,9,512,1024,0.21327591,0.5837135314941406,0.7256889343261719
160x_2025-05-15_02-05-00.tif,160,160x,10,512,1536,0.23557281,0.5568580627441406,0.708770751953125
160x_2025-05-15_02-05-00.tif,160,160x,11,512,2048,0.26623154,0.5441360473632812,0.692901611328125
160x_2025-05-15_02-05-00.tif,160,160x,12,512,2560,0.31155396,0.5344123840332031,0.6663742065429688
160x_2025-05-15_02-05-00.tif,160,160x,13,512,3072,0.43458176,0.5083541870117188,0.6020965576171875
160x_2025-05-15_02-05-00.tif,160,160x,14,1024,0,0.2674942,0.5608062744140625,0.6923103332519531
160x_2025-05-15_02-05-00.tif,160,160x,15,1024,512,0.24282837,0.5837898254394531,0.7062835693359375
160x_2025-05-15_02-05-00.tif,160,160x,16,1024,1024,0.23087692,0.5784187316894531,0.711212158203125
160x_2025-05-15_02-05-00.tif,160,160x,17,1024,1536,0.21796036,0.5699691772460938,0.7108116149902344
160x_2025-05-15_02-05-00.tif,160,160x,18,1024,2048,0.24879074,0.5494461059570312,0.690765380859375
160x_2025-05-15_02-05-00.tif,160,160x,19,1024,2560,0.26600266,0.5443038940429688,0.6785011291503906
160x_2025-05-15_02-05-00.tif,160,160x,20,1024,3072,0.38524246,0.5144424438476562,0.6079597473144531
160x_2025-05-15_02-05-00.tif,160,160x,21,1536,0,0.27560043,0.5520286560058594,0.6809158325195312
160x_2025-05-15_02-05-00.tif,160,160x,22,1536,512,0.2365036,0.5787086486816406,0.7044219970703125
